Route_ID,Line,Attribute,Value,Score
KJL,Kelana Jaya,Interconnectivity,9.0,6.2
KJL,Kelana Jaya,Accessibility,90.0,6.9
KJL,Kelana Jaya,Average Fare RM,2.5,4.8
KJL,Kelana Jaya,Frequency Trains Per Hour,15.0,6.1
KJL,Kelana Jaya,Hospital Proximity,340.0,9.7
KGL,MRT Kajang,Interconnectivity,9.0,6.2
KGL,MRT Kajang,Accessibility,110.0,8.5
KGL,MRT Kajang,Average Fare RM,2.8,2.5
KGL,MRT Kajang,Frequency Trains Per Hour,10.0,2.1
KGL,MRT Kajang,Hospital Proximity,277.0,7.9
AGL,LRT Ampang,Interconnectivity,12.0,8.5
AGL,LRT Ampang,Accessibility,116.0,9.0
AGL,LRT Ampang,Average Fare RM,2.6,4.0
AGL,LRT Ampang,Frequency Trains Per Hour,20.0,10.0
AGL,LRT Ampang,Hospital Proximity,243.0,7.0
SPL,LRT Sri Petaling,Interconnectivity,14.0,10.0
SPL,LRT Sri Petaling,Accessibility,80.0,6.2
SPL,LRT Sri Petaling,Average Fare RM,2.6,4.0
SPL,LRT Sri Petaling,Frequency Trains Per Hour,20.0,10.0
SPL,LRT Sri Petaling,Hospital Proximity,299.0,8.6
PYL,MRT Putrajaya,Interconnectivity,10.0,7.0
PYL,MRT Putrajaya,Accessibility,129.0,10.0
PYL,MRT Putrajaya,Average Fare RM,3.0,1.0
PYL,MRT Putrajaya,Frequency Trains Per Hour,15.0,6.1
PYL,MRT Putrajaya,Hospital Proximity,352.0,10.0
MRL,KL Monorail,Interconnectivity,6.0,4.0
MRL,KL Monorail,Accessibility,19.0,1.4
MRL,KL Monorail,Average Fare RM,1.8,10.0
MRL,KL Monorail,Frequency Trains Per Hour,8.571428571428571,1.0
MRL,KL Monorail,Hospital Proximity,233.0,6.7
BRT,BRT Sunway,Interconnectivity,2.0,1.0
BRT,BRT Sunway,Accessibility,14.0,1.0
BRT,BRT Sunway,Average Fare RM,2.2,7.0
BRT,BRT Sunway,Frequency Trains Per Hour,15.0,6.1
BRT,BRT Sunway,Hospital Proximity,23.0,1.0
